code,heir_class,exemption_usd,flat_rate,graduated_schedule,note
PA,spouse,0,0.0,,
PA,minor_child_from_parent,0,0.0,,"Transfers to a child age 21 or younger from a natural parent, adoptive parent or stepparent, deaths on or after 2020-01-01."
PA,parent_from_minor_child,0,0.0,,"Transfers from the estate of a child age 21 or younger to a natural parent, adoptive parent or stepparent, since 2000-07-01."
PA,lineal,0,0.045,,"Grandparents, parents, children (incl. stepchildren), lineal descendants, and the unremarried surviving spouse of a child."
PA,sibling,0,0.12,,Whole and half siblings only; step-siblings are in the 15% class.
PA,other,0,0.15,,"Everyone else, including nieces, nephews, in-laws and step-siblings."
NJ,class_a_spouse_child_grandchild_parent,,0.0,,"Also grandparents, great-grandchildren, stepchildren (not step-grandchildren), mutually acknowledged children, civil union partners and domestic partners."
NJ,class_c_sibling_or_child_in_law,25000,,next 1075000 @ 0.11; next 300000 @ 0.13; next 300000 @ 0.14; remainder @ 0.16,
NJ,class_d_other,0,,next 700000 @ 0.15; remainder @ 0.16,
NJ,class_e_charitable,,0.0,,"Charitable, religious, educational and medical institutions and the State."
KY,class_a_close_family,,0.0,,"Spouse, parents, children (incl. stepchildren and children adopted in infancy), grandchildren, siblings (whole or half), and from 2026-01-01 nieces and nephews (whole or half blood) under 2026 Ky. Acts ch. 198 (HB 869) §§40, 68."
KY,class_b,1000,,over 1000: 0+0.04; over 10000: 360+0.05; over 20000: 860+0.06; over 30000: 1460+0.08; over 45000: 2660+0.1; over 60000: 4160+0.12; over 100000: 8960+0.14; over 200000: 22960+0.16,"Sons- and daughters-in-law, aunts, uncles, great-grandchildren. Rows are on the gross distributive share; the $1,000 exemption is built in (KY DOR Guide 92F101: do not deduct the exemption first)."
KY,class_c_unrelated,500,,over 500: 0+0.06; over 10000: 570+0.08; over 20000: 1370+0.1; over 30000: 2370+0.12; over 45000: 4170+0.14; over 60000: 6270+0.16,"Everyone not in Class A or B, including nieces and nephews by marriage and great-nieces and great-nephews. Rows are on the gross distributive share with the $500 exemption built in."
NE,spouse,,0.0,,
NE,close_relative,100000,0.01,,"Siblings, persons the decedent stood in the acknowledged relation of a parent to for 10 or more years, and spouses of anyone in the class. Beneficiaries under 22 are exempt in every class."
NE,remote_relative,40000,0.11,,"Aunts, uncles, nieces, nephews, their descendants and their spouses."
NE,other,25000,0.15,,
MD,close_family,,0.0,,
MD,other,0,0.1,,Inheritance tax paid is credited against the Maryland estate tax (one way).
