year,decisions,all_fl_appellate,per_10k
1960,11,2000,55.0
1961,14,2179,64.25
1962,18,2754,65.36
1963,8,2648,30.21
1964,6,3013,19.91
1965,9,3155,28.53
1966,12,3611,33.23
1967,12,3578,33.54
1968,18,3752,47.97
1969,15,4098,36.6
1970,14,4538,30.85
1971,12,4713,25.46
1972,11,4837,22.74
1973,21,5863,35.82
1974,16,6325,25.3
1975,14,6971,20.08
1976,14,3161,44.29
1977,18,2995,60.1
1978,9,3295,27.31
1979,8,3274,24.43
1980,27,3799,71.07
1981,25,4392,56.92
1982,19,4668,40.7
1983,26,4763,54.59
1984,22,4664,47.17
1985,23,4764,48.28
1986,19,4691,40.5
1987,18,4734,38.02
1988,25,4555,54.88
1989,19,4741,40.08
1990,22,5144,42.77
1991,16,5468,29.26
1992,16,5206,30.73
1993,12,4810,24.95
1994,16,4893,32.7
1995,15,4950,30.3
1996,12,5057,23.73
1997,12,5112,23.47
1998,13,5498,23.64
1999,8,5407,14.8
2000,12,5885,20.39
2001,10,5628,17.77
2002,11,5090,21.61
2003,9,4815,18.69
2004,13,4909,26.48
2005,14,5301,26.41
2006,9,6523,13.8
2007,10,7550,13.25
2008,10,14243,7.02
2009,13,14873,8.74
2010,9,14010,6.42
2011,12,8593,13.96
2012,12,6417,18.7
2013,15,3739,40.12
2014,7,4972,14.08
2015,12,6167,19.46
2016,9,10869,8.28
2017,13,17509,7.42
2018,16,21479,7.45
2019,11,19054,5.77
2020,4,2534,15.79
2021,14,3454,40.53
2022,9,3967,22.69
2023,9,4621,19.48
2024,9,7075,12.72
2025,13,4848,26.82
2026,3,4496,6.67
